VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2021-03-01 00:53:12,2021-03-01 00:57:43,2,.70,1,N,68,246,1,5,3,0.5,0,0,0.3,8.8,2.5
2,2021-03-01 00:58:07,2021-03-01 01:07:49,1,2.34,1,N,233,68,1,10,0.5,0.5,3,0,0.3,16.8,2.5
2,2021-03-01 00:17:06,2021-03-01 00:18:08,2,.40,1,N,48,230,1,3.5,0.5,0.5,1.46,0,0.3,8.76,2.5
2,2021-03-01 00:24:24,2021-03-01 00:30:28,2,1.44,1,N,90,79,1,7,0.5,0.5,2.16,0,0.3,12.96,2.5
2,2021-03-01 00:14:53,2021-03-01 00:33:09,1,10.39,1,N,264,107,1,29.5,0.5,0.5,6.66,0,0.3,39.96,2.5
2,2021-03-01 00:38:18,2021-03-01 00:45:44,1,1.35,1,N,162,48,2,7,0.5,0.5,0,0,0.3,10.8,2.5
1,2021-03-01 00:03:28,2021-03-01 00:15:29,2,6.20,1,Y,138,135,1,19,0.5,0.5,2,0,0.3,22.3,0
1,2021-03-01 00:30:46,2021-03-01 00:46:16,2,10.00,1,N,138,97,1,28.5,0.5,0.5,3,0,0.3,32.8,0
2,2021-03-01 00:33:22,2021-03-01 00:50:17,1,6.76,1,N,186,260,1,21,0.5,0.5,6.18,6.12,0.3,37.1,2.5
2,2021-03-01 00:11:30,2021-03-01 00:20:54,1,3.11,1,N,68,238,1,11,0.5,0.5,2.96,0,0.3,17.76,2.5
1,2021-03-01 00:10:40,2021-03-01 00:26:35,0,6.30,1,N,132,203,1,21,0.5,0.5,3,0,0.3,25.3,0
2,2021-03-01 00:01:34,2021-03-01 00:05:34,1,1.13,1,N,75,41,1,5.5,0.5,0.5,0,0,0.3,6.8,0
2,2021-03-01 00:08:18,2021-03-01 00:13:17,1,1.09,1,N,41,151,1,6,0.5,0.5,2.7,0,0.3,10,0
2,2021-03-01 00:32:00,2021-03-01 00:40:53,1,1.91,1,N,41,236,1,9,0.5,0.5,1,0,0.3,13.8,2.5
1,2021-03-01 00:28:07,2021-03-01 00:51:30,1,5.70,1,N,249,225,1,21,3,0.5,4.95,0,0.3,29.75,2.5
2,2021-03-01 00:12:08,2021-03-01 00:37:13,1,18.27,2,N,132,234,1,52,0,0.5,12.28,6.12,0.3,73.7,2.5
2,2021-03-01 00:20:58,2021-03-01 00:28:23,1,1.61,1,N,90,79,1,8,0.5,0.5,2.36,0,0.3,14.16,2.5
2,2021-03-01 00:53:14,2021-03-01 01:13:07,1,7.03,1,N,137,198,2,22,0.5,0.5,0,0,0.3,25.8,2.5
2,2021-03-01 00:12:55,2021-03-01 00:14:46,6,.59,1,N,41,41,2,4,0.5,0.5,0,0,0.3,5.3,0
2,2021-03-01 00:38:37,2021-03-01 00:46:38,6,2.27,1,N,142,162,1,9.5,0.5,0.5,3.99,0,0.3,17.29,2.5
2,2021-03-01 00:44:17,2021-03-01 00:54:06,5,2.73,1,N,68,140,1,10.5,0.5,0.5,2.86,0,0.3,17.16,2.5
2,2021-03-01 00:11:30,2021-03-01 00:28:28,1,7.85,1,N,237,261,1,23.5,0.5,0.5,5.46,0,0.3,32.76,2.5
2,2021-03-01 00:40:44,2021-03-01 00:42:54,1,.60,1,N,151,166,1,4,0.5,0.5,2,0,0.3,7.3,0
